configId,modelFamily,threshold,fitSeconds,model,set,accuracy,precision,recall
0,xgboost,0.45,13.223261099999945,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 7, 'regAlpha': 0.5, 'nEstimators': 400, 'minChildWeight': 5, 'maxDepth': 6, 'learningRate': 0.08, 'gamma': 0.0, 'colsampleBytree': 0.8}",train,1.0,1.0,1.0
0,xgboost,0.5,13.223261099999945,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 7, 'regAlpha': 0.5, 'nEstimators': 400, 'minChildWeight': 5, 'maxDepth': 6, 'learningRate': 0.08, 'gamma': 0.0, 'colsampleBytree': 0.8}",train,1.0,1.0,1.0
0,xgboost,0.55,13.223261099999945,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 7, 'regAlpha': 0.5, 'nEstimators': 400, 'minChildWeight': 5, 'maxDepth': 6, 'learningRate': 0.08, 'gamma': 0.0, 'colsampleBytree': 0.8}",train,1.0,1.0,1.0
2,xgboost,0.45,4.5891655000014,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 3, 'regAlpha': 0.0, 'nEstimators': 600, 'minChildWeight': 7, 'maxDepth': 3, 'learningRate': 0.1, 'gamma': 0.0, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
2,xgboost,0.5,4.5891655000014,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 3, 'regAlpha': 0.0, 'nEstimators': 600, 'minChildWeight': 7, 'maxDepth': 3, 'learningRate': 0.1, 'gamma': 0.0, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
2,xgboost,0.55,4.5891655000014,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 3, 'regAlpha': 0.0, 'nEstimators': 600, 'minChildWeight': 7, 'maxDepth': 3, 'learningRate': 0.1, 'gamma': 0.0, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
4,xgboost,0.45,2.860366000000795,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 5, 'regAlpha': 0.1, 'nEstimators': 1000, 'minChildWeight': 5, 'maxDepth': 6, 'learningRate': 0.08, 'gamma': 0.3, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
4,xgboost,0.5,2.860366000000795,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 5, 'regAlpha': 0.1, 'nEstimators': 1000, 'minChildWeight': 5, 'maxDepth': 6, 'learningRate': 0.08, 'gamma': 0.3, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
4,xgboost,0.55,2.860366000000795,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 5, 'regAlpha': 0.1, 'nEstimators': 1000, 'minChildWeight': 5, 'maxDepth': 6, 'learningRate': 0.08, 'gamma': 0.3, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
6,xgboost,0.45,13.515675099999498,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.85, 'regLambda': 3, 'regAlpha': 0.5, 'nEstimators': 800, 'minChildWeight': 3, 'maxDepth': 8, 'learningRate': 0.1, 'gamma': 0.1, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
6,xgboost,0.5,13.515675099999498,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.85, 'regLambda': 3, 'regAlpha': 0.5, 'nEstimators': 800, 'minChildWeight': 3, 'maxDepth': 8, 'learningRate': 0.1, 'gamma': 0.1, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
6,xgboost,0.55,13.515675099999498,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.85, 'regLambda': 3, 'regAlpha': 0.5, 'nEstimators': 800, 'minChildWeight': 3, 'maxDepth': 8, 'learningRate': 0.1, 'gamma': 0.1, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
7,xgboost,0.45,0.6427698000006785,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 7, 'regAlpha': 0.5, 'nEstimators': 400, 'minChildWeight': 1, 'maxDepth': 4, 'learningRate': 0.1, 'gamma': 0.1, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
7,xgboost,0.5,0.6427698000006785,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 7, 'regAlpha': 0.5, 'nEstimators': 400, 'minChildWeight': 1, 'maxDepth': 4, 'learningRate': 0.1, 'gamma': 0.1, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
7,xgboost,0.55,0.6427698000006785,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 7, 'regAlpha': 0.5, 'nEstimators': 400, 'minChildWeight': 1, 'maxDepth': 4, 'learningRate': 0.1, 'gamma': 0.1, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
12,xgboost,0.55,1.291038799998205,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.85, 'regLambda': 1, 'regAlpha': 0.5, 'nEstimators': 400, 'minChildWeight': 3, 'maxDepth': 4, 'learningRate': 0.05, 'gamma': 0.0, 'colsampleBytree': 0.8}",train,1.0,1.0,1.0
15,xgboost,0.45,11.636979099999735,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.85, 'regLambda': 1, 'regAlpha': 0.0, 'nEstimators': 400, 'minChildWeight': 1, 'maxDepth': 8, 'learningRate': 0.08, 'gamma': 0.1, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
15,xgboost,0.5,11.636979099999735,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.85, 'regLambda': 1, 'regAlpha': 0.0, 'nEstimators': 400, 'minChildWeight': 1, 'maxDepth': 8, 'learningRate': 0.08, 'gamma': 0.1, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
15,xgboost,0.55,11.636979099999735,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.85, 'regLambda': 1, 'regAlpha': 0.0, 'nEstimators': 400, 'minChildWeight': 1, 'maxDepth': 8, 'learningRate': 0.08, 'gamma': 0.1, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
16,xgboost,0.45,8.891718499999115,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 5, 'regAlpha': 0.5, 'nEstimators': 400, 'minChildWeight': 1, 'maxDepth': 8, 'learningRate': 0.08, 'gamma': 0.0, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
16,xgboost,0.5,8.891718499999115,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 5, 'regAlpha': 0.5, 'nEstimators': 400, 'minChildWeight': 1, 'maxDepth': 8, 'learningRate': 0.08, 'gamma': 0.0, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
16,xgboost,0.55,8.891718499999115,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 5, 'regAlpha': 0.5, 'nEstimators': 400, 'minChildWeight': 1, 'maxDepth': 8, 'learningRate': 0.08, 'gamma': 0.0, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
19,xgboost,0.45,13.81509240000014,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 7, 'regAlpha': 0.1, 'nEstimators': 1000, 'minChildWeight': 1, 'maxDepth': 8, 'learningRate': 0.05, 'gamma': 0.1, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
19,xgboost,0.5,13.81509240000014,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 7, 'regAlpha': 0.1, 'nEstimators': 1000, 'minChildWeight': 1, 'maxDepth': 8, 'learningRate': 0.05, 'gamma': 0.1, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
19,xgboost,0.55,13.81509240000014,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 7, 'regAlpha': 0.1, 'nEstimators': 1000, 'minChildWeight': 1, 'maxDepth': 8, 'learningRate': 0.05, 'gamma': 0.1, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
20,xgboost,0.45,1.2705749000015203,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 3, 'regAlpha': 0.5, 'nEstimators': 200, 'minChildWeight': 1, 'maxDepth': 8, 'learningRate': 0.05, 'gamma': 0.3, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
20,xgboost,0.5,1.2705749000015203,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 3, 'regAlpha': 0.5, 'nEstimators': 200, 'minChildWeight': 1, 'maxDepth': 8, 'learningRate': 0.05, 'gamma': 0.3, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
20,xgboost,0.55,1.2705749000015203,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 3, 'regAlpha': 0.5, 'nEstimators': 200, 'minChildWeight': 1, 'maxDepth': 8, 'learningRate': 0.05, 'gamma': 0.3, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
24,xgboost,0.45,7.225703299998713,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 3, 'regAlpha': 0.0, 'nEstimators': 800, 'minChildWeight': 1, 'maxDepth': 5, 'learningRate': 0.03, 'gamma': 0.1, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
24,xgboost,0.5,7.225703299998713,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 3, 'regAlpha': 0.0, 'nEstimators': 800, 'minChildWeight': 1, 'maxDepth': 5, 'learningRate': 0.03, 'gamma': 0.1, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
24,xgboost,0.55,7.225703299998713,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 3, 'regAlpha': 0.0, 'nEstimators': 800, 'minChildWeight': 1, 'maxDepth': 5, 'learningRate': 0.03, 'gamma': 0.1, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
25,xgboost,0.45,1.2415371999995841,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 5, 'regAlpha': 0.0, 'nEstimators': 800, 'minChildWeight': 7, 'maxDepth': 4, 'learningRate': 0.1, 'gamma': 0.0, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
25,xgboost,0.5,1.2415371999995841,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 5, 'regAlpha': 0.0, 'nEstimators': 800, 'minChildWeight': 7, 'maxDepth': 4, 'learningRate': 0.1, 'gamma': 0.0, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
25,xgboost,0.55,1.2415371999995841,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 5, 'regAlpha': 0.0, 'nEstimators': 800, 'minChildWeight': 7, 'maxDepth': 4, 'learningRate': 0.1, 'gamma': 0.0, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
26,xgboost,0.45,6.126547600000777,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.85, 'regLambda': 3, 'regAlpha': 0.5, 'nEstimators': 1000, 'minChildWeight': 1, 'maxDepth': 8, 'learningRate': 0.01, 'gamma': 0.0, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
26,xgboost,0.5,6.126547600000777,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.85, 'regLambda': 3, 'regAlpha': 0.5, 'nEstimators': 1000, 'minChildWeight': 1, 'maxDepth': 8, 'learningRate': 0.01, 'gamma': 0.0, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
26,xgboost,0.55,6.126547600000777,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.85, 'regLambda': 3, 'regAlpha': 0.5, 'nEstimators': 1000, 'minChildWeight': 1, 'maxDepth': 8, 'learningRate': 0.01, 'gamma': 0.0, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
