modelFamily,accuracy,valError,configId,threshold,trainError
adaBoost,0.8095238095238095,0.19047619047619047,203,0.5,0.002581755593803803
randomForest,0.7936507936507936,0.2063492063492064,137,0.5,0.005163511187607606
extraTrees,0.7777777777777778,0.2222222222222222,119,0.55,0.002581755593803803
gradientBoosting,0.8095238095238095,0.19047619047619047,190,0.5,0.10843373493975905
histGradientBoosting,0.8095238095238095,0.19047619047619047,72,0.45,0.0
svc,0.7301587301587301,0.2698412698412699,265,0.55,0.11273666092943202
mlp,0.7936507936507936,0.2063492063492064,227,0.5,0.048192771084337394
xgboost,0.8095238095238095,0.19047619047619047,18,0.45,0.08347676419965577
