model,dataset,accuracy,precision,recall
Week10 Final,train,0.9165232358003442,0.894374282433984,0.9936224489795918
Week10 Final,validation,0.8095238095238095,0.78,0.975
Week10 Final,test,0.703125,0.7155963302752294,0.9176470588235294
Bias Mitigation Retrain,train,0.9165232358003442,0.894374282433984,0.9936224489795918
Bias Mitigation Retrain,validation,0.7777777777777778,0.7708333333333334,0.925
Bias Mitigation Retrain,test,0.7109375,0.7142857142857143,0.9411764705882353
