configId,model,set,accuracy,precision,recall
34,"{'cValue': 0.3, 'classWeight': None, 'fitIntercept': True, 'maxIter': 5000, 'penalty': 'l2', 'threshold': 0.5, 'tol': 0.0001}",train,0.6815834767641996,0.6902573529411765,0.9579081632653061
34,"{'cValue': 0.3, 'classWeight': None, 'fitIntercept': True, 'maxIter': 5000, 'penalty': 'l2', 'threshold': 0.5, 'tol': 0.0001}",val,0.6507936507936508,0.65,0.975
35,"{'cValue': 0.3, 'classWeight': None, 'fitIntercept': True, 'maxIter': 5000, 'penalty': 'l2', 'threshold': 0.5, 'tol': 0.001}",train,0.6824440619621343,0.6905417814508723,0.9591836734693877
35,"{'cValue': 0.3, 'classWeight': None, 'fitIntercept': True, 'maxIter': 5000, 'penalty': 'l2', 'threshold': 0.5, 'tol': 0.001}",val,0.6507936507936508,0.65,0.975
64,"{'cValue': 0.6, 'classWeight': None, 'fitIntercept': True, 'maxIter': 5000, 'penalty': 'l1', 'threshold': 0.5, 'tol': 0.0001}",train,0.6824440619621343,0.6867686768676867,0.9732142857142857
64,"{'cValue': 0.6, 'classWeight': None, 'fitIntercept': True, 'maxIter': 5000, 'penalty': 'l1', 'threshold': 0.5, 'tol': 0.0001}",val,0.6507936507936508,0.65,0.975
