group,n,accuracy,precision,recall,predicted_positive_rate,actual_positive_rate,difference_pred_minus_actual
Moderate (6-10),38,0.7631578947368421,0.7777777777777778,0.9655172413793104,0.9473684210526315,0.7631578947368421,0.18421052631578938
Close (3-5),37,0.5675675675675675,0.6129032258064516,0.8260869565217391,0.8378378378378378,0.6216216216216216,0.21621621621621623
Very Close (0-2),29,0.6551724137931034,0.5555555555555556,0.8333333333333334,0.6206896551724138,0.41379310344827586,0.20689655172413796
Large (11-20),24,0.875,0.875,1.0,1.0,0.875,0.125
