group,n,accuracy,precision,recall,predicted_positive_rate,actual_positive_rate,difference_pred_minus_actual
Moderate (6-10),38,0.7894736842105263,0.7837837837837838,1.0,0.9736842105263158,0.7631578947368421,0.21052631578947367
Close (3-5),37,0.5945945945945946,0.6333333333333333,0.8260869565217391,0.8108108108108109,0.6216216216216216,0.18918918918918926
Very Close (0-2),29,0.6206896551724138,0.5238095238095238,0.9166666666666666,0.7241379310344828,0.41379310344827586,0.3103448275862069
Large (11-20),24,0.875,0.875,1.0,1.0,0.875,0.125
