modelFamily,bestAccuracy,avgAccuracy,bestRecall,avgFitSeconds,testedThresholds,testedConfigs
catboost,0.8095238095238095,0.7572089947089947,1.0,19.528580557499843,3,80
gradientBoosting,0.8095238095238095,0.7316137566137566,1.0,8.22825067499998,3,40
histGradientBoosting,0.8095238095238095,0.7604056437389771,1.0,2.063724960000036,3,60
xgboost,0.8095238095238095,0.764484126984127,1.0,2.58010096249991,3,80
mlp,0.7936507936507936,0.6621693121693121,1.0,0.23741629500000272,3,40
randomForest,0.7936507936507936,0.7274074074074074,1.0,2.5384826559996143,3,50
adaBoost,0.7777777777777778,0.671957671957672,1.0,4.8694031968752824,3,32
extraTrees,0.7777777777777778,0.7021164021164021,1.0,0.7525158919997194,3,50
svc,0.746031746031746,0.6450066137566137,1.0,0.37753510000004553,3,32
