"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","UC Riverside",71.0537,52,68.4707,120,100.813,317,103.945,273,111.555,259,111.717,229,-7.77146,259
"2026","UC San Diego",69.7555,102,67.2134,190,106.888,210,107.831,193,101.226,38,103.339,68,4.49139,120
"2026","UC Santa Barbara",67.0774,242,64.3882,329,112.717,93,113.759,96,108.132,168,110.616,208,3.1427,132
"2026","UCF",70.6277,72,69.2406,79,113.618,78,120.422,39,110.327,229,105.435,103,14.9876,54
"2026","UCLA",65.6763,310,64.6861,318,117.078,45,123.727,21,107.182,138,102.065,53,21.6623,27
"2026","UMass Lowell",68.8792,157,69.1656,84,104.487,262,102.537,292,112.381,276,117.252,323,-14.7157,321
"2026","UMBC",66.52,271,66.3088,240,112.982,88,108.805,178,102.191,49,110.748,210,-1.94286,188
"2026","UNC Asheville",67.0966,240,64.7845,314,105.669,238,104.738,256,108.979,194,111.515,222,-6.77702,246
"2026","UNC Greensboro",68.6158,169,67.6817,164,110.801,124,107.597,198,118.1,350,119.804,348,-12.2068,300
"2026","UNC Wilmington",66.1762,288,65.2127,297,113.464,83,111.6,128,102.17,48,105.375,101,6.22527,105
"2026","UNLV",70.7298,65,69.9389,49,110.737,125,115.003,83,110.8,240,108.728,162,6.27512,104
"2026","USC",71.0205,53,70.5953,27,107.527,196,113.532,101,108.65,187,102.716,62,10.8161,80
"2026","USC Upstate",69.235,132,67.5165,174,100.673,319,98.9809,337,107.601,149,111.361,220,-12.3804,302
"2026","UT Arlington",66.5177,272,64.8636,311,100.667,320,102.619,291,100.545,32,101.472,46,1.14752,154
"2026","UT Rio Grande Valley",66.5243,269,66.3854,231,109.656,146,110.991,136,104.714,85,106.367,117,4.6233,117
"2026","Utah",68.0177,200,65.9958,258,108.708,168,114.638,85,115.982,336,111.022,213,3.61605,126
"2026","Utah St.",68.3248,185,67.7107,159,119.573,19,122.204,28,103.377,68,101.36,45,20.8441,29
"2026","Utah Tech",68.0793,197,66.34,238,106.936,209,110.896,138,110.161,222,112.781,252,-1.88464,187
"2026","Utah Valley",69.3883,123,68.6946,108,110.551,129,112.813,107,100.183,29,103.998,78,8.81575,90
